schoolname,averageclasssize,year,grade,enroll,schoolid,mathscore,x,pctdisability,pctEL,pctblack,pcthisp,pctwhite
P.S. 380 JOHN WAYNE ELEMENTARY,22,2009,3,66,380,.7843395669703051,1.5,.085714288,.18571429,28.57143,70,1.4285715
P.S. 380 John Wayne Elementary,21.79999923706055,2010,3,87,380,1.16141639672742,-9.5,.13953489,.13953489,18.60465,76.744186,0
P.S. 380 JOHN WAYNE ELEMENTARY,19.79999923706055,2011,3,79,380,1.080357626521113,14.5,.086419754,.086419754,23.456789,74.074074,0
P.S. 380 JOHN WAYNE ELEMENTARY,21.29999923706055,2012,3,85,380,.5223390335870719,-11.5,.095238097,.21428572,11.904762,82.14286,3.5714288
P.S. 380 JOHN WAYNE ELEMENTARY,24.75,2013,3,99,380,.775532383099016,2.5,.15841584,.20792079,22.772278,75.247528,.99009901
P.S. 380 JOHN WAYNE ELEMENTARY,24.70000076293945,2009,4,74,380,1.078297173336592,9.5,.12162162,.16216215,25.675674,68.918922,4.0540538
P.S. 380 John Wayne Elementary,22.70000076293945,2010,4,68,380,1.106304033365863,3.5,.11111111,.1388889,27.777779,70.833328,1.388889
P.S. 380 JOHN WAYNE ELEMENTARY,20.79999923706055,2011,4,83,380,.4729568704306182,-13.5,.11904762,.11904762,15.476191,79.761902,0
P.S. 380 JOHN WAYNE ELEMENTARY,25.29999923706055,2012,4,76,380,.2877278826907742,11.5,.12345679,.11111111,24.691359,72.839508,0
P.S. 380 JOHN WAYNE ELEMENTARY,27.33333333333333,2013,4,82,380,.8070112484304303,-14.5,.13414635,.15853658,10.97561,84.146339,2.4390242
P.S. 380 JOHN WAYNE ELEMENTARY,21.70000076293945,2009,5,65,380,1.321871489802733,.5,.10769231,.061538462,29.23077,70.769234,0
P.S. 380 John Wayne Elementary,24.70000076293945,2010,5,74,380,.9177641933956231,9.5,.14864865,.14864865,28.37838,66.216217,4.0540538
P.S. 380 JOHN WAYNE ELEMENTARY,21.29999923706055,2011,5,64,380,.8655653832627944,-.5,.11764706,.10294118,26.470589,72.058823,1.4705882
P.S. 380 JOHN WAYNE ELEMENTARY,27,2012,5,81,380,.6036308989449466,-15.5,.1038961,.14285715,12.987013,83.116882,0
P.S. 380 JOHN WAYNE ELEMENTARY,24,2013,5,72,380,.7387485358796293,7.5,.12987013,.1038961,25.974026,68.831169,1.2987013
J.H.S. 383 PHILLIPPA SCHUYLER,25.5,2012,5,51,383,.580279251624619,-13.5,0,.041666668,42.553192,40.425533,0
J.H.S. 383 Philippa Schuyler,26.66666666666667,2013,5,80,383,.9478676219211866,15.5,.037500001,.037500001,45,43.75,0
P.S. /I.S. 384 Frances E. Carter,27,2010,3,81,384,-.5192391210846307,-15.5,.06666667,.2,22.666668,73.333336,1.3333334
P.S. 384 FRANCES E. CARTER,27.29999923706055,2011,3,82,384,-.5813702632921391,-14.5,.1,.2375,27.5,72.5,0
P.S. 384 FRANCES E. CARTER,19,2012,3,57,384,-.3836069190092687,-7.5,.083333336,.23333333,20,76.666664,1.6666667
P.S. 384 FRANCES E. CARTER,21,2009,4,63,384,.1902043107663182,-1.5,.10447761,.1641791,26.865673,71.641792,1.4925373
P.S. 384 FRANCES E. CARTER,24.29999923706055,2011,4,73,384,-.0429054297811347,8.5,.043478262,.2173913,18.84058,78.260872,0
P.S. 384 FRANCES E. CARTER,26.29999923706055,2012,4,79,384,-.1905780039027413,14.5,.094594598,.28378379,26.027397,73.972603,0
P.S. /I.S. 384 Frances E. Carter,27,2013,4,54,384,-.5144771577705997,-10.5,.12280702,.22807017,21.052631,77.192978,1.7543859
P.S. 384 FRANCES E. CARTER,23,2009,5,69,384,-.8009229752308914,4.5,.11111111,.1388889,30.985916,67.605629,0
P.S. /I.S. 384 Frances E. Carter,28.5,2010,5,57,384,-.5012147075260093,-7.5,.10169491,.13559322,22.413794,77.586212,0
P.S. 384 FRANCES E. CARTER,23.70000076293945,2012,5,71,384,-.7802436428827355,6.5,.044117648,.2647059,14.705883,82.352943,0
P.S. /I.S. 384 Frances E. Carter,26.33333333333333,2013,5,79,384,-.5121675705295293,14.5,.10526316,.28947368,20,80,0
P.S. 384 FRANCES E. CARTER,27.5,2009,6,55,384,-.1424547438377664,-9.5,.13114753,.14754099,24.590164,73.770493,1.6393442
P.S. /I.S. 384 Frances E. Carter,21,2010,6,63,384,-.5278836076246538,-1.5,.10606061,.13636364,23.076923,75.384613,0
P.S. 384 FRANCES E. CARTER,26.5,2011,6,53,384,-.2985743782270189,-11.5,.125,.17857143,16.071428,83.928574,0
P.S. /I.S. 384 Frances E. Carter,23.66666666666667,2013,6,71,384,.0794734715043423,6.5,.11428571,.27142859,12.857143,82.857147,1.4285715
I.S. 392,25,2009,5,25,392,1.625127841950393,-7.5,0,0,68,8,0
I.S. 392,21,2010,5,21,392,1.498255561954473,-11.5,0,0,60.000004,30.000002,5
I.S. 392,22,2011,5,22,392,.8655653832627944,-10.5,0,0,31.818182,63.636364,0
I.S. 392,25.29999923706055,2010,6,76,392,1.722185256460499,11.5,.012987013,0,80.519478,9.090909,0
I.S. 392,25.5,2011,6,102,392,1.287213962177057,5.5,0,0,83.67347,13.265306,1.0204082
I.S. 392,26.29999923706055,2012,6,105,392,1.236985873335738,8.5,0,.028846154,76.470589,20.588236,0
I.S. 392,28,2013,6,56,392,.5362641198658606,-8.5,.098360658,0,81.967209,13.114754,0
M.S. K394,22,2009,3,66,394,.1551892426991057,1.5,.14666666,0,94.666664,2.6666667,2.6666667
M.S. K394,22.29999923706055,2010,3,67,394,.3705196824629258,2.5,.045454547,.10606061,85.714287,11.111112,0
M.S. K394,21.70000076293945,2011,3,65,394,-.3858728644905801,.5,.075757578,.060606062,89.0625,9.375,0
M.S. K394,25,2012,3,50,394,-.0450121460113777,-14.5,.06818182,.045454547,90.909096,6.818182,2.2727273
M.S. K394,26,2013,3,52,394,-.564539276148604,-12.5,.059999999,.039999999,87.5,10.416666,2.0833335
M.S. K394,29,2010,4,58,394,-.086070384971943,-6.5,.203125,0,96.610168,3.3898306,0
